text,id,dump,url,date,file_path,language,language_score,token_count,,,,,
"How AP reported in all formats from tornado-stricken regionsMarch 8, 2012
When the first serious bout of tornadoes of 2012 blew through middle America in the middle of the night, they touched down in places hours from any AP bureau. Our closest video journalist was Chicago-based Robert Ray, who dropped his plans to travel to Georgia for Super Tuesday, booked several flights to the cities closest to the strikes and headed for the airport. Heâ€™d decide once there which flight to take.
He never got on board a plane. Instead, he ended up driving toward Harrisburg, Ill., where initial reports suggested a town was destroyed. That decision turned out to be a lucky break for the AP. Twice.
Ray was among the first journalists to arrive and he confirmed those reports -- in all formats. He shot powerful video, put victims on the phone with AP Radio and played back sound to an editor who transcribed the interviews and put the material on text wires. He then walked around the devastation with the Central Regional Desk on the line, talking to victims with the phone held so close that editors could transcribe his interviews in real time.
Ray also made a dramatic image of a young girl who found a manâ€™s prosthetic leg in the rubble, propped it up next to her destroyed home and spray-painted an impromptu sign: â€œFound leg. Seriously.â€
The following day, he was back on the road and headed for Georgia and a Super Tuesday date with Newt Gingrichâ€™s campaign. The drive would take him through a stretch of the South that forecasters expected would suffer another wave of tornadoes.
To prevent running into THAT storm, Ray used his iPhone to monitor Doppler radar, zooming in on extreme cells and using Google maps to direct himself to safe routes. And then the journalist took over again.
â€œWhen weather like that occurs, a reporter must seize the opportunity to get the news out and allow people to see, hear and read the power of nature so that they can take proper shelter,â€ Ray says.
So Ray now started to use his phone to follow the storms. He attached a small GoPro camera to his steering wheel in case a tornado dropped down in front of the car somewhere, and took video of heavy rain and hail with his iPhone. Soon, he spotted a tornado and the chase was on. He followed an unmarked emergency vehicle to Cleveland, Tenn., where he was first on the scene of the storm's aftermath.
Again, the tornadoes had struck in locations that were hours from the nearest AP bureau. Damage and debris, as well as a wickedly violent storm that made travel dangerous, slowed our efforts to get to the news. That wasnâ€™t a problem in Tennessee, where our customers were well served by an all-formats report that included this text story.
â€œCLEVELAND, Tenn. (AP) _ Fierce wind, hail and rain lashed Tennessee for the second time in three days, and at least 15 people were hospitalized Friday in the Chattanooga area.â€
The byline? Robert Ray.
For being adept with technology, chasing after news as it literally dropped from the sky and setting a standard for all-formats reporting that put the AP ahead on the most competitive news story of the day, Ray wins this weekâ€™s $300 Best of the States prize.
Â© 2013 The Associated Press. All rights reserved. Terms and conditions apply. See AP.org for details.",<urn:uuid:d66bc6fe-8477-4adf-b430-f6a558ccc8ff>,CC-MAIN-2013-20,http://%20jwashington@ap.org/Content/Press-Release/2012/How-AP-reported-in-all-formats-from-tornado-stricken-regions,2013-05-18T05:48:54Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.972142458,717,,,,,
"Did you know you have two little yellow, nine-volt-battery-sized adrenal glands in your body, just chilling out, maxinâ€™, relaxinâ€™ all cool on top of your kidneys? Someone told me this and I checked it out. Turns out itâ€™s true.
It seems as though your adrenal glands are kind of like those British Royal Guards with the big, black fuzzy hats who stand like statues in front of Buckingham Palace. They just stand there quietly, not doing much really, just enjoying the brown, slippery beach that is your kidneys.
However, if anything startling should happen that requires your attention â€” like say youâ€™re about to give a speech at a wedding or your hear a twig crack outside your tent or your doorbell rings in the middle of the night â€” then they leap into action, jumping out of their peaceful slumber to squeeze out a big dose of adrenaline right into your body, pumping you up, and turning you into a primal, warrior-like version of yourself.
When tension runs high and adrenaline is secreted into your body some crazy things can happen â€” sometimes called the fight-or-flight response:
- Your heart rate increases. And specifically, your body starts sending blood to all your big muscles and diverts it away from â€œnon-criticalâ€ parts of your body, like your brain, immune system, and digestive system. I guess someone figured you could digest the sandwich after you killed the bear.
- Your pupils dilate and you get tunnel vision. Quite literally, adrenaline also reduces your peripheral vision, which together with your big, wide pupils helps you focus on what lies ahead. You canâ€™t quite see through walls, but if a crow is diving at your eyes you might be able to swat it away better.
- Your body gets ready to boot it. In addition to the rising heart rate, your body starts turning lots more stuff into sugar, raising your blood sugar level and filling you with energy. You might not even feel pain as easily, so the raspberry bushes that shred your legs when youâ€™re running out of the forest wonâ€™t slow you down.
But whatâ€™s also great about adrenalin is that, first of all, you donâ€™t have to control it. It just sort of kicks it into high gear when it figures you could use a boost. I think itâ€™s kind of cool knowing that your body will help you out when you need it most. Punch me in the face and suddenly my internal British Royal Guard tosses away his fuzzy, black cap, cracks his neck, and rolls up his sleeves.
And really, isnâ€™t it that little dose of adrenalin that helps you do a better job when you need it most? Itâ€™s a natural upper, helping you nail the big speech, ace the final exam, or perhaps flee both of those scenes.
Thereâ€™s a reason some people become adrenaline junkies. The boost you get from your adrenal glands waking up and getting out of bed is intoxicating. Sure, it fuzzes up your thinking a bit and sends your intestines on sabbatical, but it sure does pump you up. And remember: when something important in your life is about to happen, you can count on your good pal adrenaline to be there, juicing you up, helping you fight the good fight.
Jian Ghomeshi is the host of my favorite radio show. Itâ€™s called Q and broadcasts across North America every morning. Jian is a big friend and fan of 1000 Awesome Things and The Book of Awesome and Iâ€™m really excited because he just released his first book. Itâ€™s called 1982 and is a beautifully written memoir about growing up in the suburbs of Toronto and trying to fit in. (My kind of book!) For those of you who love reading, I think heâ€™s a fantastic writer and am really excited to recommend this book.",<urn:uuid:803e14c3-dc2e-43d6-b75d-6fb3981c4fe6>,CC-MAIN-2013-20,http://1000awesomethings.com/2012/09/24/934-adrenaline/,2013-05-18T08:11:45Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.947991431,821,,,,,
"Car Wash For Clara!
Now is your chance to help! 2 year old Clara Woodward has Cancer! Clara canâ€™t say â€œNeuroblastomaâ€ but she knows how it feels. You can help!!
A Car Wash will be held Saturday July 23, 11am-2pm at Java Jet on the corner of Edison & Canal Drive in Kennewick.
There is also an account set up in Claraâ€™s name. Her family lives in Pasco and is travelling to Spokane for treatment.
For further information contactâ€ Kelly Gammon at 509-380-2321",<urn:uuid:ac1bbfff-9519-4967-9c64-3dc3a4b471ec>,CC-MAIN-2013-20,http://1027kord.com/car-wash-for-clara/,2013-05-18T06:49:55Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.911518276,125,,,,,
"Listeners Get Sky-high View of Missoula From Hot Air Balloons
On Friday, June 1, during the Graduation Matters carnival, Townsquare Media â€“ Missoula offered hot air balloon rides to members of the community at the Missoula County Fairgrounds.
Thank you to all of our sponsors, including Southgate Mall and Town Pump.
Here are some of the photos we took at the event:
Check out a few more below from the gallery we posted during the event:",<urn:uuid:c1445c58-b111-4c4e-badd-1e43ec317df7>,CC-MAIN-2013-20,http://1075zoofm.com/listeners-get-sky-high-view-of-missoula-from-hot-air-balloons/,2013-05-18T06:25:20Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.956515908,103,,,,,
"Log In Please enter your ECode to log in.
Forgotten your eCode? If you created your login but do not remember your eCode please enter your e-mail address in the box below and click on E-mail My Login Info. This will e-mail your login info to you
Copyright 2007, a2z, Inc. All rights reserved.",<urn:uuid:e5829f7d-b944-4468-9573-61b7cb3078cc>,CC-MAIN-2013-20,http://1105govinfoevents.com/enterprisearchitectureevent/public/MyBriefcasef671.html?ID=563&sortMenu=103001&exp=1%2F26%2F2009+3%3A27%3A46+PM,2013-05-18T05:27:01Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.798235118,75,,,,,
"spotlight provides a convenient rechargeable LED light for work play and everyday life. choose from many vibrant colors to match your car, home, or personal style.
- high power 0.5 watt LED bulb (35+ lumens)
- colorful anodized aluminum body
- 180+ minutes of light per charge
- water resistant / submersible
- red glow Ã¢â‚¬ËœchargingÃ¢â‚¬â„¢ indicator
- rechargeable Ni - MH battery
- shines 50 meter / 150 feet",<urn:uuid:6bfca20f-ea67-41ba-b995-b7081b4a8b15>,CC-MAIN-2013-20,http://12vspotlight.com/,2013-05-18T06:49:17Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.754259348,102,,,,,
"K-State put themselves in sole position of first place in the Big 12 with their 79-70 over Iowa State on Saturday, and K-State is now #10 in the AP poll heading into Monday nightâ€™s Sunflower Showdown. With losses last week at TCU and Oklahoma, KU drops nine spots to #14. Oklahoma State has won five straight including at Texas on Saturday, and is now #17, up five spots from last weekâ€™s poll.
K-State and KU tip off on Monday night at 8:00pm at Allen Fieldhouse. Coverage on SportsRadio 1350 KMAN and 101.5 K-Rock begins at 7:00 from the K-State Sports Network with Wyatt Thompson and Stan Weber.
Stay connected to all things KSU on the go just text EMAW to 88474
For full video wrap-ups, including analysis, highlights, coaches & player interviews of K-State Football & Basketball check out PowerCatGameday.com",<urn:uuid:dc9d9fd8-5a21-4ab0-bbb2-9718720e1cc2>,CC-MAIN-2013-20,http://1350kman.com/k-state-now-in-top-10/,2013-05-18T07:19:46Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.945918143,204,,,,,
"Five Reasons I Love Boston
1. The water.
The Atlantic Ocean, as deep and true as denim, so blue it melts into the sky, horizonless. And the Charles River. Years from now, Iâ€™ll remember riding the Red Line from Boston into Cambridge at night â€“ the way the lights streak across the black water like crayons lined up in a box.
After my childhood in Seattle to my college years in Boston, I donâ€™t think I could live anywhere but a coast.
2. The seasons.
I always come back to school right at the tail end of summer. Heat sinks into the subway stations like poisonous gas, and whatever you wear, itâ€™s too much fabric. With October right around the corner, though, fall settles in. I love the way golden light fans out from behind buildings and through alleyways. Yellow leaves get stuck in the rain currents along the sidewalk. Itâ€™s my favorite time of year.
Boston has also taught me the true meaning of winter. Winter is wet hair freezing solid on the way to class, two pairs of socks, ears tucked into scarves. Torrential flurries of snowflakes that burn skin. Frankly, winter is miserable.
But then thereâ€™s that one morning â€“ and itâ€™s always a morning, and youâ€™re never quite prepared for it â€“ when you step outside and every tree in Boston has bloomed. Cherry blossoms opened like pale pink popcorn, blue skies, tender green leaves. Itâ€™s such a miracle that this can happen despite the sheets of ice and crazy wind tunnels, it makes everything worthwhile.
3. The quirkiness.
I love the farmerâ€™s markets all over the city, the narrow brick alleys begging to be explored, the late night restaurants in Chinatown. Boston constantly surprises me. Today I discovered the food trucks â€“ why didnâ€™t I know that Boston has food trucks??
4. The history.
A handful of the founding fathers are buried mere blocks from campus. I walk through the oldest park in America to get to my boyfriend D-â€™s apartment in Beacon Hill, a neighborhood of gas lamps and weathered brick. Everywhere you look, historic churches stand between skyscrapers. The contrast is astonishing.
5. These amazing people.
Sure, most of them arenâ€™t from Boston. A-â€™s from Colorado, C-â€™s from LA, and S- is all the way from Guam. But nine months of the year, theyâ€™re all mine. They make Boston feel like home.
Why do you love _______?",<urn:uuid:64f968bf-14bc-48bd-a1bb-a43b3f4a3c3d>,CC-MAIN-2013-20,http://17andbaking.com/2012/09/30/five-reasons-i-love-boston/?like=1&source=post_flair&_wpnonce=fd9f0e7c6a,2013-05-18T07:25:34Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.926679969,550,,,,,
"TRIBE CHIEF TRIS DAZZLES AT DISH, FLUBS IN FIELD IN SIXTH STRAIGHT TIGER WIN
By Calvin J. Butterworth
June 19, 1924
Ty Cobb can tell you. Personally causing your team's loss when you are managing said team can be a devastating turn of events. Players who look to you for leadership and support are left in a rudderless abyss and often need to find dry morning land on their own.
Such was the case at Navin Field today, as the suddenly resurgent Indians re-visited our neighborhood, fresh from taking three of four from the Yankees and before that, four straight from Boston. It was their misfortune, though, to run into the Earl of Whitehill, who has been spinning masterpieces of hurling lately. Skipper Speaker doubled off him with two outs in the 1st, but Riggs Stephenson, back from an ailment, left him there with a short fly. Joe Sewell and Speaker singled with two outs again two innings later, but this time Riggs grounded out.
Meanwhile Harry Heilman, hero of yesterday, was stranding runners aplenty for our side, failing after three straight Fred Haney hits off Joe Shaute. The game remained scoreless through the first six frames, a remarkable achievement when one considers the power of these clubs' collective clout.
With one out in the Tiger 7th, though, Frank O'Rourke reached on his third single. Whitehill then lofted a fly straight out to Speaker. The sun had been playing peek-and-seek all afternoon behind thin clouds, and as the ball reached its pinnacle it was evident Tris was having trouble locating it. Sure enough, he threw up his mitt at the last moment and was as stunned as the thousands of witnesses were to have it nick off the top and bound insanely toward the deep fence. By the time he tracked down the sphere, O'Rourke had scampered home and Whitehill was standing on third base. Shaute was visibly unnerved, threw a muffin-ball to Rigney, and Topper rammed it into the corner for a double and 2-0 lead!
Egg still dripping down his face, Speaker singled with one out in the 8th, Stephenson followed with one of his own, but the Earl induced a twin killing off the bat of George Burns to end the threat. Another minor disturbance went by the wayside in the 9th, Whitehill had his tidy 10-hit shutout, and Detroit had won six games in a row.
Cobb was thrilled later about the result. ""Home runs? Who needs 'em? We got more line hits in our bureau than a buccaneer's got dubloons in the sand."" Someone mentioned the error by Speaker was a lucky break and Cobb froze the reporter with a baleful stare before ducking into the nearest shower stall.
CLE 000 000 000 - 0 10 1
DET 000 000 20x - 2 8 0
Only other American League game today:
at BROWNS 10-14-0, WHITE SOX 8-10-2
One of the more thrilling spectacles of this or any year, and no one expected it. The Chicagos have had their way with St. Louis all season, and with Sloppy Thurston staked to a 6-2 after three on the horrific Ray Kolp, Brownie fans were already making their dinner plans. It was actually 8-2 in the last of the 6th when four Browns singles and a key flub from Bill Barrett gave St. Louis four runs and put them back in the contest. A Pat Collins single in the 8th pulled them to 8-7, as great relief twirling from George Grant and Hub Pruett kept matters close. But after Tobin and pinch-hitter Severeid both singled to begin the last of the 9th, up stepped famous batsman George Sisler. He picked out a Thurston curve, swung mightily and cracked it on a magnificent arc out to right. Hooper gave chase but ran out of room as the ball dropped into the Sportsman Park pavilion amidst a gaggle of celebrating fans.
Washington will be in Shibe Park tomorrow, now with a 2-game advantage, while the Red Sox will take their losing streak into Yankee Stadium.
|AMERICAN LEAGUE through Thursday, June 19|
|Chicago White Sox||38||25||.603||2|
|New York Yankees||31||31||.500||8.5|
|St. Louis Browns||27||36||.429||13|
|Boston Red Sox||24||37||.393||15|",<urn:uuid:2c08e1d4-9706-41d8-84dc-ee2939758c81>,CC-MAIN-2013-20,http://1924andyouarethere.blogspot.com/2009_07_01_archive.html,2013-05-18T05:54:12Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.964752018,979,,,,,
"|Tommy Pi - Trance Experience|
|Written by Paul|
Tommy Pi started DJing at small private parties at the age of 13. He was always into music, so it was no surprise when he went on and bought his first equipment, some Omnictronic Turntables and a small Gemini mixer. From that day on he always used any chance he got to play at parties, and it wasn't long before his day would come, for him play on a big stage in front of more than 50 people! There was a big party in his home town of Minden (North Germany) with DJ's like Monika Kruse, Alex LÃ¼ck and others and Tommy thought that it would be great to play there. So he went straight to the promotor and said 'Hey man, I'm from here, I'm a DJ, too so can I play?'Not thinking that this would ever be possible, the promotor said, 'Ok, just come here tomorrow, and you can play for an hour'. That was the birth of DJ Tommy Pi.
From then on, Tommy played in clubs like PW1 in Porta Westfalica, or Go!Parc in Herford. He also played the Go!Parc on Tour Events alongside Alex LÃ¼ck and others. The biggest day was yet to come! On 21st of October 2000 Tommy and his mate Dee-B had the chance to play alongside Piet Blank at the Einslive Party in Minden, invited by Piet himself. It was a big party and Tommy was very nervous and shaking as he put the needle on the vinyl for the first record 'DJ Culture'. He played on that evening and the crowd were fantastic and it was a lot of fun for both, Tommy and Dennis.
The crowning Glory for Tommy was in 2002 when he was voted as 'Best DJ' by the local magazine 'StadtgeflÃ¼ster'. Tommy was the second DJ to win this trophy, after Timo Maas won it the year before.
In 2003 Tommy started his weekly Radio Show 'Trance Experience' on PureDJ. The show is streamed every Monday from 8-10 pm CET. Now, 1Mix is rebroadcasting the show from October 2008 Tuesdays from 4-6pm.
In February 2005 Tommy's second Radio Show 'Trance Experience ETN Edition' was started on ETN.fm as a monthly one-hour radio show.
All of Tommy's mixes and Radio Shows are now available as a Podcast on iTunes,podcast.de or mypodcast.com.",<urn:uuid:7e6216ca-0a01-498d-85f7-7d4aed299c98>,CC-MAIN-2013-20,http://1mix.co.uk/trance-shows/tommy-pi-trance-experience.html,2013-05-18T05:54:17Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.985656917,527,,,,,
